"language","text"
"Russian","Доброе утро"
"Russian","Евгения"
"Russian","Эдуард"
"Russian","можете посмотреть по переписки"
"Russian","суть в том"
"Russian","Да"
"Russian","нет"
"Russian","я не могу понять"
"Russian","и по какой формуле рассчитыается сумма оплаты просрочки"
"Russian","Вам считали как просроченную задолженность"
"Russian","Просроченной задолженности по карте нет."
"Russian","почему я раньше не оплачивал этот процент?"
"Russian","Вы пользовались ЛПК по которому не начисляется процент за совершенные покупки"
"Russian","какой процент будет начислять на основной долг?"
"Russian","и что является основным долгом?"
"Russian","Основной долг это та сумма"
"Russian","и какова общая сумма"
"Russian","Это процент который был рассчитан когда вы пользовались льготным периодом"
"Russian","Тикет закрыт"
"Russian","Добрый день."
"Russian","Олег"
"Russian","Сделал платёж на карту альфабанка со своей карты"
"Russian","В итоге провелся или нет?))"
"Russian","Сейчас проверю."
"Russian","Спасибо. Жду"
"Russian","Есть новости?"
"Russian","Операцию я не вижу"
"Russian","Спасибо"
"Russian","Были рады вам помочь! Удачного вам дня:)"
"Russian","Здравствуйте!как я могу отключить услугу смс информирования?"
"Russian","Сергей"
"Russian","Спасибо!"
"Russian","Был рад вам помочь! Удачного вам дня:)"
"Russian","Пожалуйста"
"Russian","Я имею в виду период за расчёты в котором я получаю кэшбек или начисляется определённая сумма миль за траты за месяц. На сколько я знаю"
"Russian","И ещё один вопрос. Как я могу увидеть в приложении количество миль зачисленных за оплаты картой в январе ?"
"Russian","Ксения"
"Russian","Вы ответите?"
"Russian","Мили рассчитываются за операции по которым в банк поступило финансовое подтверждение с начала календарного месяца и до последнего календарного дня. О количестве миль возможно будет узнать только когда их начислят"
"Russian","В приложении есть строка""за февраль нет накопленных миль"""
"Russian","В январе было написано ""за январь нет накопленных миль"""
"Russian","А переключения с месяца на месяц нет"
"Russian","Правильно я понимаю, что  январские мили я получу в феврале , но при этом ""за февраль у меня нет накопленных миль"" и они будут начислены в марте"
"Russian","Ок . Спасибо"
"Russian","Обращайтесь. Будем рады вам помочь."
"Russian","здравствуйте в банк карту не привезли можете посмотреть?"
"Russian","Андрей"
"Russian","Ожидайте"
"Russian","По нашим данным"
"Russian","точно? чтоб не что раз ездить."
"Russian","и часы работы можно офиса."
"Russian","старую карту сдаем в банк или у меня остаеться?"
"Russian","Вы её можете сдать для уничтожения или заблокировать и самостоятельно её порезать."
"Russian","спасибо за информацию до свидание"
"Russian","Добрый день"
"Russian","Дарья"
"Russian","Статус операции необходимо уточнить у отправителя"
"Russian","Там бухгалтер делает начисления не первый раз"
"Russian","С места работы "
"Russian","как заблокировать карту срочно"
"Russian","Алексей Михайлович"
"Russian","Заблокируйте карту в приложении"
"Russian","как вам позвинить из испании.?с карты сняли деньги"
"Russian","привет! Почему мне на телефон не приходит уведомление"
"Russian","Эсмира"
"Russian","доброе!"
"Russian","и можно узнать"
"Russian","У вас не подключена услуга СМС-инфо по карте"
"Russian","Вам привязать телефон к карте? Услуг бесплатная."
"Russian","Напишите нам номер телефона и мы привяжем его к вашей карте."
"Russian","добрый день"
"Russian","Максим"
"Russian","эдуард"
"Russian","спасибо"
"Russian","У вас списание средств пройдет сегодня с карты"
"Russian","Обращайтесь. Будем рады вам помочь. Удачного вам дня:)"
"Russian","как узнать мои банковские реквизиты"
"Russian","Игорь Юрьевич"
"Russian","Узнать реквизиты вы сможете в приложении"
"Russian","Телефон сейчас привяжем к карте."
"Russian","спасибо!"
"Russian","Файл"
"Russian","Заур"
"Russian","Чем могу вам помочь?"
"Russian","Добрый день! Мне нужно будет завтра в Барнауле положить на свой счёт миллион двести тысяч рублей"
"Russian","Вы внесете средства бесплатно. Подскажите"
"Russian","Я могу положить и на счёт и на карту"
"Russian","Средства вы без комиссии снять не получится"
"Russian","Они же были доступны какое-то время"
"Russian","спасибо Кристина!"
"Russian","°сделать"
"Russian","София"
"Russian","Здравствуйте"
"Russian","Пришлите нам новый номер телефона"
"Russian","добрый день.
пожалуйста, подскажите корректно ли прошло частично-досрочное списание по ипотеке?"
"Russian","Дмитрий"
"Russian","да"
"Russian","ок. спасибо"
"Russian","Обращайтесь. Удачного вам дня:)"
"Russian","Хорошо"
"Russian","Добрый день!
Подскажите, перевыпуск карты платный?"
"Russian","Александр"
"Russian","Перевыпуск карты может быть бесплатный в случае: окончания срока действия карты"
"Russian","А если у меня украли портмане?"
"Russian","Перевыпуск будет платный."
"Russian","Ладно спасибо"
"Russian","здравствуйте вчера я забрала документы и мне сказали что сегодня начислят деньги за все дни и больничные .с какого и по какое время ждать ?"
"Russian","Добрый день!"
"Russian","или они завтра придут"
"Russian","Екатерина"
"Russian","просто вчера когда отдали трудовую то сказали что сегодня начислят уже"
"Russian","Вам необходимо ожидать перевода от работодателя"
"Russian","Александр Алексеевич"
"Russian","пока не очень добрый. почему с вашим банком постоянные проблемы с перечислением денег - в конкретном случае перевод организации со счетом в Отделении."
"Russian","а ответ будет?"
"Russian","Опишите"
"Russian","Добрый день. Подскажите пожалуйста какой у банка БИК ?"
"Russian","Алексей"
"Russian","?"
"Russian","Это БИК банка Филиал Центральный ПАО Банка «ФК Открытие»."
"Russian","Спасибо. Буду ждать"
"Russian","Как работает Apple Pay?"
"Russian","Денис"
"Russian","Не получить а погасить"
"Russian","Это же задолженность )"
"Russian","Спасибо. Как я могу её погасить с карты рокетбанка? Простым переводом?"
"Russian","Вы можете перевести средства на карту по номеру карты или по реквизитам. Комиссию за перевод вам необходимо уточнить у Рокетбанка."
"Russian","Банкомат не даёт наличные"
"Russian","В чем проблема?"
"Russian","Демьян"
"Russian","Ответ когда поступит?"
"Russian","Операция на снятие средств не поступает до банка. Возможно"
"Russian","С карты другого банка этот банкомат выдал средства"
"Russian","Банкомат работоспособен. Мы попросим вас проверить карту в другом банкомате и если ситуация будет повторяться то карту необходимо предоставить в банк на диагностику"
"Russian","добрый день!"
"Russian","подскажите"
"Russian","Елена"
"Russian","или она уже не работает"
"Russian","спасибо огромное!"
"Russian","и вам!"
"Russian","Ещё раз напомните"
"Russian","Звонка не было. Спасибо за оперативность"
"Russian","Операции появились. 
Надеюсь, что завтра это опять не повторится."
"Russian","Добрый день. Если выполнены мин условия"
"Russian","Если минимальные требования выполнены"
"Russian","А как узнать эти условия аэропортов?"
"Russian","На сайте или у сотрудников аэропорта."
"Russian","А у вас на сайте есть информация касательно карт приорити пасс?"
"Russian","На сайте только общая информация"
"Russian","добрый день."
"Russian","скажите"
"Russian","и можно ли закрыть ее"
"Russian","Закрыть возможно только по письменному заявлению в офисе."
"Russian","жаль... опять в офис идти... ок"
"Russian","ок"
"Russian","Проверяю"
"Russian","В отделении Банка Вы можете получить справку о наличии счета и размере средств"
"Russian","Как отключить смс оповещение по карте."
"Russian","Сергей Алексеевич"
"Russian","Леонид"
"Russian","Ольга"
"Russian","добрый!"
"Russian","Вас интересует Samsung Pay или ApplePay?"
"Russian","а на андройд нет？телефон меизу"
"Russian","К сожалению предоставляются только две услуги."
"Russian","Услуга смс-инфо необходима"
"Russian","Прошу подключить"
"Russian","Услуга платная"
"Russian","Телефон привязан"
"Russian","По другой карте эта операция прошла"
"Russian","Меня интересует почему по карте Мир перевод не произошёл?"
"Russian","И это не первый раз"
"Russian","Переписка сохранена с Дарьей?"
"Russian","По системе переводов с карты на карту поддерживаются карты платежных систем Visa и MasterCard. Перевод с карты платежной системы Мир или на неё не пока не доступно."
"Russian","Какие сроки реализации?"
"Russian","Пока информация нам неизвестна."
"Russian","Это касаемо переводов с карты Мир на карты сторонних банков?"
"Russian","Верно?"
"Russian","Переводы возможно совершить только по платежным системам: Visa-Visa"
"Russian","Хорошего дня. Спасибо"
"Russian","Анастасия"
"Russian","Счета валютные или вклады так же учитываются"
"Russian","Бесплатно)"
"Russian","Роман"
"Russian","Да подключаем"
"Russian","Телефон подключен. Вам теперь будут поступать все операции по смс."
"Russian","Добрый день! После активации моей новой карты первый месяц вы за обслуживание не берёте с меня?"
"Russian","Первый месяц бесплатный?"
"Russian","Юрий"
"Russian","Карта с премиальным пакетом"
"Russian","И"
"Russian","После первого поступления средств на карту"
"Russian","Ясно. Исчерпывающе. Спасибо"
"Russian","добрый день. хочу перевести на свою карту сумму денег в рублях из другого банка. нужно уточнить реквизиты. бик и название точное"
"Russian","Владислав"
"Russian","система выдает что не найден в справочнике банков"
"Russian","В приложении нажмите на карту в мею Мои деньги"
"Russian","спасибо этот прошел."
"Russian","Можно получить информацию о моем последнем переводе ?"
"Russian","Уточнить имя"
"Russian","Лилия"
"Russian","Я переводила по номеру карты "
"Russian","И ещё "
"Russian","Мы данную информацию проверить не сможем"
"Russian","Ок"
"Russian","Возможности отменить его нет т.к. после его подтверждения система его отправляет на карту получателя."
"Russian","Добрый день. Где в приложении можно увидеть накопленные по программе мили? В январе"
"Russian","Екатерина Владимировна"
"Russian","можно ли отменить операцию?"
"Russian","Гузель"
"Russian","Отменить данный вид операции уже не возможно т.к. данный вид перевода считается моментальным. Попробуйте связаться с Билайн для решения данного вопроса."
"Russian","ясно спасибо"
"Russian","XX"
"Russian","Благодарим вас за предоставленные данные!"
"Russian","Добрый день. У меня есть подруга с картой банка Открытие. Не могу сделать ей перевод по номеру телефона"
"Russian","Оказывается, телефон ""не привязан"""
"Russian","Вам необходимо совершить тогда перевод по номеру карты."
"Russian","А как ей его привязать"
"Russian","По номеру карты только неудачники со Сбером переводы делают. Все нормальные банки по телефону определяют"
"Russian","Что проверите?"
"Russian","Предположим"
"Russian","Даже если я буду писать заявление на возврат ошибочного платежа ?"
"Russian","Здравствуйте "
"Russian","Вы имеете в ввиду услугу СМС-инфо?"
"Russian","Спасибо) всего доброго"
"Russian","Ок спасибо"
"Russian","Я не вижу данные по своей старой карте"
"Russian","Есть возможность перевода средств"
"Russian","Здравствуйте ! Сегодня банк списал у меня деньги за превышение платежного лимита"
"Russian","Татьяна"
"Russian","Благодарю за быстрый ответ"
"Russian","Электронном"
"Russian","Наталия"
"Russian","Чем мы можем вам помочь?"
"Russian","Елена Аркадьевна"
"Russian","Добрый"
"Russian","Благодарю вас за ожидание"
"Russian","Нет"
"Russian","добрый вечер! Сейчас сделала перевод денег по интернет банку "
"Russian","Ирина Владимировна"
"Russian","Подскажите"
"Russian","с карты на карту"
"Russian","К сожалению"
"Russian","очень жаль"
"Russian","Обращайтесь. Удачного вам вечера."
"Russian","Добрый вечер ! Снова проблема по денежному переводу"
"Russian","Жздравствуйте."
"Russian","Как долго переводится бежбанковский перевод?"
"Russian","Почему"
"Russian","Не зависимо от того списалась сумма или нет?"
"Russian","Я ведь к вам обращаюсь !"
"Russian","Я у вас не вижу операции по переводу"
"Russian","Если средства отправляли не вы"
"Russian","Добрый день! Можете подсказать по дебетовой карте Фк Открытия - есть ли комиссия за снятие в сторонних банкоматах?"
"Russian","Здравствуйте! А акция ""Большемильное предложение"" действует для текущих клиентов или только для новых?"
"Russian","Валерий"
"Russian","В данный акции участвуют действующие клиенты."
"Russian","Так что проще"
"Russian","Вы можете получить средства в кассе без использования карты"
"Russian","Ну там сумма с копейками. Как я ее получу? Плюс мое надо Ее кинуть на счет"
"Russian","Карта у вас заблокирована"
"Russian","Т.е. я могу обратится и перевести деньги на счёт и не снимать наличные"
"Russian","Был рад вам помочь! Удачного вам вечера:)"
"Russian","В разделе Ивестиционные продукты отображаются ПИФы"
"Russian","Хорошо. Спасибо."
"Russian","Пополнить ИИС возможно в интернет-банке на сайте https://online.open.ru. Зарегистрируйтесь или введите пароль и логин и зайдите во вкладку Инвестиционные продукты."
"Russian","нет. спасибо"
"Russian","Были рады вам помочь! Удачного вам вечера:)"
"Russian","Макс"
"Russian","Вачаган"
"Russian","в интернет- банке так же не проходит платеж. ошибка"" нн указан ""кбк"""". но у меня его нет"
"Russian","Минуту."
"Russian","Татьяна Юрьевна"
"Russian","мне что надо сделать?"
"Russian","Вам необходимо карту теперь перевыпускать"
"Russian","а в кассе банка я могу получить свои деньги?"
"Russian","Снять средства возможно в кассе банка"
"Russian","спасибо за помощь"
"Russian","Я не вижу"
"Russian","Но все по нулям"
"Russian","Здравствуйте! Подскажите"
"Russian","Если вам понадобится обычная выписка по карте заверенная банком то бесплатно"
"Russian","Когда начисляются проценты по остаткам на карте?"
"Russian","Когда начисляются бонусы на покупки?"
"Russian","Сергей Олегович"
"Russian","Понятно"
"Russian","Не видел пока начислений"
"Russian","Количество баллов возможно проверить в личном кабинете на сайте Программы Лояльности www.lukoil-club.ru или запросить чек с информацией о количестве баллов на АЗС ""ЛУКОЙЛ""."
"Russian","Уип или Уин одно и тоже?"
"Russian","Анна"
"Russian","Что вы оплачиваете?"
"Russian","Уникальный идентификатор начислений (УИН) - присутствует по уплате налогов и штрафов ГИБДД"
"Russian","Это что?"
"Russian","Фотография экрана вашего телефона."
"Russian","Мне не очень это понятно"
"Russian","Мы информацию сможем передать ответственным специалистам."
"Russian","А логин и пароль где взять?"
"Russian","Вы его самостоятельно создаете когда проходите регистрацию."
"Russian","И пароль тоже."
"Russian","Добрый день "
"Russian","Что делать"
"Russian","Людмила"
"Russian","Забыла пин код"
"Russian","Вы можете его сменить в приложении"
"Russian","Первая смена ПИН-кода без комиссии"
"Russian","Получилось сменить ПИН-код?"
"Russian","У вас я вижу"
"Russian","Сегодня могу воспользоваться картой?"
"Russian","Операция проходит по категориям Строительство и ремонт"
